Fields,Polia
First Name,Kresťanské meno
Frequency,Frekvencia
Friday,Piatok
From,Z adresy
Full,Úplný
Full Name,Celé meno
Further nodes can be only created under 'Group' type nodes,"Ďalšie uzly je možné vytvoriť len v rámci uzlov typu ""Skupina""."
Gender,Pohlavie
GitHub Sync ID,ID synchronizácie GitHub
Guest,Hosť
Half Day,Pol dňa
Half Yearly,Polročne
High,Vysoká
Hourly,Hodinové
Hub Sync ID,ID synchronizácie rozbočovača
IP Address,IP adresa
Image,Obrázok
Image View,Zobrazenie obrázku
Import Data,Import údajov
Import Log,Importný protokol
Inactive,Neaktívne
Insert,Vložte
Interests,Záujmy
Introduction,Úvod
Is Active,Je aktívny
Is Completed,Je dokončená
Is Default,Je predvolené
Kanban Board,Tabuľa Kanban
Label,Štítok
Language Name,Názov jazyka
Last Name,Priezvisko
Leaderboard,Rebríček
Letter Head,Hlavička listu
Level,Úroveň
Limit,Limit
Log,Prihlásiť sa
Logs,Protokoly
Low,Nízka
Maintenance Manager,Manažér údržby
Maintenance User,Používateľ údržby
Male,Muži
Mandatory,Povinné
Mapping,Mapovanie
Mapping Type,Typ mapovania
Medium,Stredné
Meeting,Stretnutie
Message Examples,Príklady správ
Method,Metóda
Middle Name,Stredné meno
Middle Name (Optional),Stredné meno (nepovinné)
Monday,Pondelok
Monthly,Mesačne
More,Viac na
More Information,Viac informácií
Move,Presun
My Account,Moje konto
New Address,Nová adresa
New Contact,Nový kontakt
Next,Ďalšie
No Data,Žiadne údaje
No address added yet.,Zatiaľ nebola pridaná žiadna adresa.
No contacts added yet.,Zatiaľ neboli pridané žiadne kontakty.
No items found.,Nenašli sa žiadne položky.
None,Žiadne
Not Permitted,Nie je povolené
Not active,Nie je aktívny
Number,Číslo
Online,Online
Operation,Operácia
Options,Možnosti
Other,Iné
Owner,Vlastník
Page Missing or Moved,Chýbajúca alebo presunutá stránka
Parameter,Parameter
Password,Heslo
Period,Obdobie
Pincode,Pincode
Please enable pop-ups,Povoľte vyskakovacie okná
Please select Company,"Prosím, vyberte spoločnosť"
Please select {0},"Prosím, vyberte {0}"
Please set Email Address,Nastavte e-mailovú adresu
Portal Settings,Nastavenia portálu
Preview,Náhľad
Primary,Primárne
Print Format,Formát tlače
Print Settings,Nastavenia tlače
Print taxes with zero amount,Tlač daní s nulovou sumou
Private,Súkromná stránka
Property,Vlastníctvo
Public,Verejnosť
Published,Zverejnené na
Purchase Manager,Manažér nákupu
Purchase Master Manager,Hlavný manažér nákupu
Purchase User,Nákup Používateľ
Query Options,Možnosti dopytu
Range,Rozsah
Rating,Hodnotenie
Received,Prijaté
Recipients,Príjemcovia
Redirect URL,Adresa URL presmerovania
Reference,Odkaz
Reference Date,Referenčný dátum
Reference Document,Referenčný dokument
Reference Document Type,Typ referenčného dokumentu
Reference Owner,Referenčný vlastník
Reference Type,Referenčný typ
Refresh Token,Token Refresh
Region,Región
Rejected,Odmietnuté
Reopen,Znovu otvoriť stránku
Replied,Odpovedal
Report,Správa
Report Builder,Tvorca správ
Report Type,Typ správy
Reports,Správy
Response,Odpoveď
Role,Úloha
Route,Trasa
Sales Manager,Manažér predaja
Sales Master Manager,Hlavný manažér predaja
Sales User,Používateľ predaja
Salutation,Pozdrav
Sample,Vzorka
Saturday,Sobota
Saved,Uložené
Scheduled,Plánované
Search,Vyhľadávanie
Secret Key,Tajný kľúč
Select,Vyberte
Select DocType,Vyberte DocType
Send Now,Odoslať teraz
Sent,Odoslané
Series {0} already used in {1},Séria {0} už použitá v {1}
Service,Služba
Set as Default,Nastaviť ako predvolené
Settings,Nastavenia
Shipping,Preprava
Short Name,Krátky názov
Slideshow,Prezentácia
Source,Zdroj
Source Name,Názov zdroja
Standard,Štandard
Start Date,Dátum začiatku
Start Import,Spustenie importu
State,Štát
Stopped,Zastavené
Subject,Predmet
Submit,Odoslať
Summary,Zhrnutie
Sunday,Nedeľa
System Manager,Správca systému
Target,Cieľ
Task,Úloha
Tax Category,Daňová kategória
Test,Test
Thank you,Ďakujem
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,Hľadaná stránka chýba. Dôvodom môže byť jej presunutie alebo preklep v odkaze.
Timespan,Časové rozpätie
To,Na
To Date,K dnešnému dňu
Traceback,Spätné sledovanie
URL,ADRESA URL
Unsubscribed,Odhlásené
User,Používateľ
User ID,ID používateľa
Users,Používatelia
Validity,Platnosť
Warning,Upozornenie
Website,Webová lokalita
Website Manager,Správca webovej lokality
Website Settings,Nastavenia webovej lokality
Wednesday,Streda
Week,Týždeň
Weekdays,Pracovné dni
Weekly,Týždeň
Welcome email sent,Odoslanie uvítacieho e-mailu
Workflow,Pracovný postup
You need to be logged in to access this page,Na prístup na túto stránku musíte byť prihlásený
old_parent,starý_rodič
{0} is mandatory,{0} je povinné
 to your browser, do vášho prehliadača
"""Company History""","""História spoločnosti"""
"""Parent"" signifies the parent table in which this row must be added","""Parent"" označuje nadradenú tabuľku, do ktorej sa tento riadok musí pridať"
"""Team Members"" or ""Management""","""Členovia tímu"" alebo ""Vedenie"""
&lt;head&gt; HTML,&lt;head&gt; HTML
'In Global Search' not allowed for type {0} in row {1},'V globálnom vyhľadávaní' nie je povolené pre typ {0} v riadku {1}
'In List View' not allowed for type {0} in row {1},'V zobrazení zoznamu' nie je povolené pre typ {0} v riadku {1}
'Recipients' not specified,"""Príjemcovia"" nie sú špecifikovaní"
(Ctrl + G),(Ctrl + G)
** Failed: {0} to {1}: {2},** Nepodarilo sa: {0} až {1}: {2}
**Currency** Master,**Mena** Master
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Návrh; 1 - Odoslaný; 2 - Zrušený
0 is highest,0 je najvyššia
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1 mena = [?] zlomok\nFor napr. 1 USD = 100 centov
1 comment,1 komentár
1 hour ago,Pred 1 hodinou
1 minute ago,Pred 1 minútou
1 month ago,Pred 1 mesiacom
1 year ago,Pred 1 rokom
; not allowed in condition,; nie je povolené v stave
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>Predvolená šablóna</h4>\n<p>Používa <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> a všetky polia adresy (vrátane prípadných vlastných polí) budú k dispozícii</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Telefón: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>"
A Lead with this Email Address should exist,Vedúci s touto e-mailovou adresou by mal existovať
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Zoznam zdrojov, ku ktorým bude mať klientská aplikácia prístup po tom, ako jej to používateľ povolí.<br> napr. projekt"
A log of request errors,Protokol chýb v požiadavkách
A new account has been created for you at {0},Bolo pre vás vytvorené nové konto na adrese {0}
A symbol for this currency. For e.g. $,Symbol pre túto menu. Napríklad $
A word by itself is easy to guess.,Samotné slovo sa dá ľahko uhádnuť.
API Endpoint Args,Príznaky koncového bodu API
API Key cannot be  regenerated,Kľúč API nie je možné regenerovať
API Password,Heslo API
API Secret,Tajomstvo API
API Username,Používateľské meno API
ASC,ASC
About Us Settings,O nás Nastavenia
About Us Team Member,O nás Člen tímu
Accept Payment,Prijatie platby
Access Key ID,ID prístupového kľúča
Access Token URL,Adresa URL prístupového tokenu
Action Failed,Akcia zlyhala
Action Timeout (Seconds),Časový limit akcie (sekundy)
"Actions for workflow (e.g. Approve, Cancel).","Akcie pre pracovný postup (napr. Schváliť, Zrušiť)."
Active Domains,Aktívne domény
Active Sessions,Aktívne relácie
Activity Log,Denník aktivít
Activity log of all users.,Denník aktivít všetkých používateľov.
Add / Manage Email Domains.,Pridanie / správa e-mailových domén.
Add / Update,Pridať / aktualizovať
Add A New Rule,Pridanie nového pravidla
Add Another Comment,Pridať ďalší komentár
Add Attachment,Pridať prílohu
Add Column,Pridať stĺpec
Add Contact,Pridať kontakt
Add Contacts,Pridať kontakty
Add Filter,Pridať filter
Add Group,Pridať skupinu
Add New Permission Rule,Pridanie nového pravidla oprávnenia
Add Review,Pridať recenziu
Add Signature,Pridať podpis
Add Subscribers,Pridanie odberateľov
Add Total Row,Pridať celkový riadok
Add Unsubscribe Link,Pridanie prepojenia na odhlásenie
Add User Permissions,Pridanie oprávnení používateľa
Add a New Role,Pridanie novej úlohy
Add a column,Pridanie stĺpca
Add a comment,Pridať komentár
Add a new section,Pridanie novej sekcie
Add a tag ...,Pridať značku ...
Add all roles,Pridanie všetkých rolí
Add custom forms.,Pridanie vlastných formulárov.
Add custom javascript to forms.,Pridanie vlastného javascriptu do formulárov.
Add fields to forms.,Pridávanie polí do formulárov.
Add meta tags to your web pages,Pridávanie meta značiek na webové stránky
Add script for Child Table,Pridanie skriptu pre detskú tabuľku
Add to table,Pridať do tabuľky
Add your own translations,Pridajte vlastné preklady
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pridanie HTML do časti &lt;head&gt; webovej stránky, ktorá sa používa najmä na overenie webovej stránky a SEO"
Added {0},Pridané {0}
Adding System Manager to this User as there must be atleast one System Manager,"Pridanie systémového manažéra k tomuto používateľovi, pretože musí existovať aspoň jeden systémový manažér"
Additional Permissions,Ďalšie oprávnenia
Address Template,Šablóna adresy
Address Title is mandatory.,Názov adresy je povinný.
Address and other legal information you may want to put in the footer.,"Adresa a ďalšie právne informácie, ktoré možno budete chcieť uviesť v pätičke."
Addresses And Contacts,Adresy a kontakty
Adds a client custom script to a DocType,Pridá vlastný skript klienta do typu DocType
Adds a custom field to a DocType,Pridá vlastné pole do typu DocType
Admin,Administrátor
Administrator Logged In,Prihlásený správca
Administrator accessed {0} on {1} via IP Address {2}.,Správca získal prístup k {0} na {1} prostredníctvom IP adresy {2}.
Advanced,Pokročilé
Advanced Control,Pokročilé ovládanie
Advanced Search,Rozšírené vyhľadávanie
Align Labels to the Right,Zarovnanie štítkov doprava
Align Value,Zosúladiť hodnotu
All Images attached to Website Slideshow should be public,Všetky obrázky pripojené k webovej stránke Slideshow by mali byť verejné
All customizations will be removed. Please confirm.,"Všetky prispôsobenia budú odstránené. Potvrďte, prosím."
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Všetky možné stavy pracovného postupu a roly pracovného postupu. Možnosti stavu dokumentov: 0 je ""Uložené"", 1 je ""Odoslané"" a 2 je ""Zrušené""."
All-uppercase is almost as easy to guess as all-lowercase.,Veľké písmená sú takmer rovnako ľahko uhádnuteľné ako malé písmená.
Allocated To,Pridelené na
Allow,Povoľte
Allow Bulk Edit,Povoliť hromadné úpravy
Allow Comments,Povoliť komentáre
Allow Consecutive Login Attempts ,Povolenie po sebe nasledujúcich pokusov o prihlásenie
Allow Dropbox Access,Povolenie prístupu k službe Dropbox
Allow Edit,Povoliť úpravu
Allow Guest to View,Povoliť hosťovi zobrazenie
Allow Import (via Data Import Tool),Povoliť import (prostredníctvom nástroja na import údajov)
Allow Incomplete Forms,Povolenie neúplných formulárov
Allow Login After Fail,Povoliť prihlásenie po zlyhaní
Allow Login using Mobile Number,Povoliť prihlásenie pomocou mobilného čísla
Allow Login using User Name,Povoliť prihlásenie pomocou používateľského mena
Allow Modules,Povoliť moduly
Allow Multiple,Povoliť viacnásobné
Allow Print,Povoliť tlač
Allow Print for Cancelled,Povoliť tlač pre zrušené
Allow Print for Draft,Povolenie tlače pre návrh
Allow Read On All Link Options,Povoliť čítanie na všetkých možnostiach prepojenia
Allow Rename,Povoliť premenovanie
Allow Roles,Povolenie rolí
Allow Self Approval,Povoľte vlastné schválenie
Allow approval for creator of the document,Umožniť schválenie tvorcu dokumentu
Allow events in timeline,Povolenie udalostí na časovej osi
Allow in Quick Entry,Povolenie v rýchlom zadávaní
Allow on Submit,Povoliť na Odoslať
Allow only one session per user,Povolenie len jednej relácie na používateľa
Allow page break inside tables,Povolenie zalomenia stránky vo vnútri tabuliek
Allow saving if mandatory fields are not filled,"Povoliť ukladanie, ak nie sú vyplnené povinné polia"
Allow user to login only after this hour (0-24),Povoliť prihlásenie používateľa až po tejto hodine (0-24)
Allow user to login only before this hour (0-24),Povoliť prihlásenie používateľa len pred touto hodinou (0-24)
Allowed,Povolené
Allowed In Mentions,Povolené v zmienkach
"Allowing DocType, DocType. Be careful!","Povolenie DocType, DocType. Buďte opatrní!"
Already Registered,Už zaregistrované
Also adding the dependent currency field {0},Pridanie závislého menového poľa {0}
"Always add ""Draft"" Heading for printing draft documents","Vždy pridávajte záhlavie ""Návrh"" pre tlač návrhov dokumentov"
Always use Account's Email Address as Sender,Ako odosielateľa vždy používajte e-mailovú adresu účtu
Always use Account's Name as Sender's Name,Vždy používajte názov účtu ako názov odosielateľa
Amend,Zmeniť
Amending,Zmena a doplnenie
Amount Based On Field,Suma na základe poľa
Amount Field,Pole s čiastkou
Amount must be greater than 0.,Suma musí byť väčšia ako 0.
An error occured during the payment process. Please contact us.,"Počas procesu platby došlo k chybe. Kontaktujte nás, prosím."
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Súbor ikony s príponou .ico. Mala by mať rozmery 16 x 16 px. Generuje sa pomocou generátora favicon. [favicon-generator.org]
Ancestors Of,Predkovia
Another transaction is blocking this one. Please try again in a few seconds.,"Túto transakciu blokuje iná transakcia. Skúste to, prosím, o niekoľko sekúnd znova."
"Another {0} with name {1} exists, select another name","Existuje ďalší {0} s názvom {1}, vyberte iný názov"
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Možno použiť ľubovoľný reťazcový jazyk tlačiarne. Zápis nespracovaných príkazov si vyžaduje znalosť pôvodného jazyka tlačiarne, ktorý poskytuje výrobca tlačiarne. Informácie o tom, ako písať ich natívne príkazy, nájdete v príručke pre vývojárov, ktorú poskytuje výrobca tlačiarne. Tieto príkazy sa vykresľujú na strane servera pomocou jazyka Jinja Templating Language."
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Okrem Správcu systému môžu roly s právom Nastaviť oprávnenia používateľa nastaviť oprávnenia pre ostatných používateľov pre daný typ dokumentu.
Api Access,Prístup k rozhraniu Api
App,Aplikácia
App Access Key,Prístupový kľúč k aplikácii
App Client ID,ID klienta aplikácie
App Client Secret,Tajomstvo klienta aplikácie
App Name,Názov aplikácie
App Secret Key,Tajný kľúč aplikácie
App not found,Aplikácia nebola nájdená
App {0} already installed,Aplikácia {0} je už nainštalovaná
App {0} is not installed,Aplikácia {0} nie je nainštalovaná
Append To,Pripojiť k
Append To can be one of {0},Pripojiť k môže byť jedna z možností {0}
Append To is mandatory for incoming mails,Pripojiť k je povinné pre prichádzajúce e-maily
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Pripojiť ako komunikáciu proti tomuto typu dokumentu (musí mať polia, ""Status"", ""Subject"")"
Applicable Document Types,Uplatniteľné typy dokumentov
Apply,Aplikovať
Apply Strict User Permissions,Uplatnenie prísnych používateľských oprávnení
Apply To All Document Types,Použiť na všetky typy dokumentov
Apply this rule if the User is the Owner,"Uplatniť toto pravidlo, ak je používateľ vlastníkom"
Apply to all Documents Types,Použiť na všetky typy dokumentov
Appreciate,Oceniť
Appreciation,Ocenenie
Archive,Archív
Archived,Archivované
Archived Columns,Archivované stĺpce
Are you sure you want to delete the attachment?,"Ste si istí, že chcete prílohu odstrániť?"
Are you sure you want to relink this communication to {0}?,"Ste si istí, že chcete túto komunikáciu prepojiť na {0}?"
Are you sure?,Ste si istý?
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",V rámci osvedčených postupov nepriraďujte rovnakú sadu pravidiel oprávnení rôznym rolám. Namiesto toho nastavte rovnakému používateľovi viacero rolí.
Assign Condition,Priradenie podmienky
Assign To Users,Priradiť používateľom
"Assign one by one, in sequence",Priraďujte postupne
Assign to me,Priraďte mi
Assign to the one who has the least assignments,"Prideľte tomu, kto má najmenej úloh"
Assigned,Priradené
Assigned By,Priradené podľa
Assigned By Full Name,Priradené podľa celého názvu
Assigned By Me,Priradené mnou
Assigned To,Priradené k
Assigned To/Owner,Pridelené majiteľovi/vlastníkovi
Assignment,Zadanie
Assignment Complete,Úloha dokončená
Assignment Completed,Úloha dokončená
Assignment Rule,Pravidlo priradenia
Assignment Rule User,Pravidlo priradenia Používateľ
Assignment Rules,Pravidlá prideľovania
Assignment closed by {0},Priradenie uzavreté pomocou {0}
Assignment for {0} {1},Priradenie pre {0} {1}
Atleast one field of Parent Document Type is mandatory,Najmenej jedno pole typu nadradeného dokumentu je povinné
Attach,Pripojte stránku
Attach Document Print,Pripojiť dokument Tlač
Attach Image,Pripojiť obrázok
Attach Print,Pripojiť tlač
Attach Your Picture,Pripojte svoj obrázok
Attach file for Import,Pripojte súbor pre import
Attach files / urls and add in table.,Pripojte súbory/úradné adresy a pridajte ich do tabuľky.
Attached To DocType,Pripojené k DocType
Attached To Field,Pripojené k poľu
Attached To Name,Pripojené k názvu
Attachment Limit (MB),Limit prílohy (MB)
Attachment Removed,Odstránená príloha
Attempting Connection to QZ Tray...,Pokus o pripojenie k zásobníku QZ...
Attempting to launch QZ Tray...,Pokus o spustenie zásobníka QZ...
Auth URL Data,Auth URL Data
Authenticating...,Overovanie pravosti...
Authentication,Overovanie
Authentication Apps you can use are: ,"Aplikácie na overovanie, ktoré môžete použiť, sú:"
Authentication Credentials,Ohlasovacie poverenia
Authorization Code,Autorizačný kód
Authorize URL,Autorizácia adresy URL
Authorized,Autorizovaná stránka
Auto,Auto
Auto Email Report,Automatická e-mailová správa
Auto Name,Automatický názov
Auto Reply Message,Automatická odpoveď na správu
Auto assignment failed: {0},Automatické priradenie zlyhalo: {0}
Automatically Assign Documents to Users,Automatické priradenie dokumentov používateľom
Automation,Automatizácia
Avatar,Avatar
Average,Priemer
Average of {0},Priemerná hodnota {0}
Avoid dates and years that are associated with you.,"Vyhnite sa dátumom a rokom, ktoré sú s vami spojené."
Avoid recent years.,Vyhnite sa posledným rokom.
Avoid sequences like abc or 6543 as they are easy to guess,"Vyhnite sa sekvenciám ako abc alebo 6543, pretože sa dajú ľahko uhádnuť."
Avoid years that are associated with you.,"Vyhnite sa rokom, ktoré sú s vami spojené."
Awaiting Password,Čakanie na heslo
Away,Na stránke
BCC,BCC
Back to Desk,Späť na stôl
Back to Login,Späť na prihlásenie
Background Color,Farba pozadia
Background Email Queue,Fronta e-mailov na pozadí
Background Jobs,Pracovné miesta v pozadí
Background Workers,Pracovníci v pozadí
Backup,Zálohovanie
Backup Frequency,Frekvencia zálohovania
Backup Limit,Limit zálohovania
Backup job is already queued. You will receive an email with the download link,Úloha zálohovania je už zaradená do frontu. Dostanete e-mail s odkazom na stiahnutie
Backups,Zálohovanie
Banner,Banner
Banner HTML,Banner HTML
Banner Image,Bannerový obrázok
Banner is above the Top Menu Bar.,Banner sa nachádza nad hornou lištou ponuky.
Bar,Bar
Base Distinguished Name (DN),Základný rozlišovací názov (DN)
Based on Permissions For User,Na základe oprávnení pre používateľa
Beta,Beta
Better add a few more letters or another word,Radšej pridajte niekoľko ďalších písmen alebo iné slovo
Between,Medzi
Bio,Bio
Birth Date,Dátum narodenia
Block Module,Blokový modul
Block Modules,Blokové moduly
Blocked,Zablokované stránky
Blog,Blog
Blog Category,Kategória blogu
Blog Intro,Úvod do blogu
Blog Introduction,Úvod do blogu
Blog Post,Príspevok na blogu
Blog Settings,Nastavenia blogu
Blog Title,Názov blogu
Blogger,Bloger
Bot,Bot
Both DocType and Name required,Vyžaduje sa DocType aj Name
Both login and password required,Vyžaduje sa prihlasovacie meno aj heslo
Bounced,Odrazené
Braintree Settings,Nastavenia Braintree
Braintree payment gateway settings,Nastavenia platobnej brány Braintree
Brand HTML,Značka HTML
Brand Image,Obraz značky
Breadcrumbs,Drobky
Browser not supported,Prehliadač nie je podporovaný
Brute Force Security,Zabezpečenie hrubou silou
Build Report,Správa o zostavení
Bulk Delete,Hromadné vymazanie
Bulk Edit {0},Hromadné úpravy {0}
Bulk Rename,Hromadné premenovanie
Bulk Update,Hromadná aktualizácia
Button,Tlačidlo
Button Help,Pomocné tlačidlo
Button Label,Štítok tlačidla
Bypass Two Factor Auth for users who login from restricted IP Address,"Obchádzanie dvojfaktorovej autorizácie pre používateľov, ktorí sa prihlásia z obmedzenej IP adresy"
Bypass restricted IP Address check If Two Factor Auth Enabled,"Obídenie kontroly adresy IP s obmedzeným prístupom, ak je zapnuté dvojfaktorové overovanie"
CC,CC
"CC, BCC & Email Template","Šablóna CC, BCC a e-mailu"
CSS,CSS
CSV,CSV
Cache Cleared,Vymazanie vyrovnávacej pamäte
Calculate,Vypočítajte
Calendar Name,Názov kalendára
Calendar View,Zobrazenie kalendára
Call,Zavolajte na
Can Read,Môže čítať
Can Share,Môže zdieľať
Can Write,Môže písať
Can't identify open {0}. Try something else.,Nie je možné identifikovať otvorené {0}. Skúste niečo iné.
Can't save the form as data import is in progress.,"Formulár nie je možné uložiť, pretože prebieha import údajov."
Cancel {0} documents?,Zrušiť {0} dokumentov?
Cancelled Document restored as Draft,Zrušený dokument obnovený ako návrh
Cancelling,Zrušenie
Cancelling {0},Zrušenie {0}
Cannot Remove,Nemožno odstrániť
Cannot cancel before submitting. See Transition {0},Nie je možné zrušiť pred odoslaním. Pozri Prechod {0}
Cannot change docstatus from 0 to 2,Nemožno zmeniť docstatus z 0 na 2
Cannot change docstatus from 1 to 0,Nemožno zmeniť docstatus z 1 na 0
Cannot change header content,Nie je možné zmeniť obsah hlavičky
Cannot change state of Cancelled Document. Transition row {0},Nie je možné zmeniť stav zrušeného dokumentu. Prechodový riadok {0}
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,V ukážke nie je možné zmeniť údaje používateľa. Zaregistrujte sa na nový účet na adrese https://erpnext.com.
Cannot create a {0} against a child document: {1},Nie je možné vytvoriť {0} voči podriadenému dokumentu: {1}
Cannot delete Home and Attachments folders,Nie je možné odstrániť priečinky Domov a Prílohy
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Nemožno odstrániť súbor, pretože patrí {0} {1}, ku ktorému nemáte oprávnenia"
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},"Nemožno vymazať ani zrušiť, pretože {0} {1} je prepojené s {2} {3} {4}"
Cannot delete standard field. You can hide it if you want,"Nie je možné odstrániť štandardné pole. Ak chcete, môžete ho skryť"
Cannot delete {0},Nemožno vymazať {0}
Cannot delete {0} as it has child nodes,"Nemožno odstrániť {0}, pretože má podradené uzly"
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Nie je možné upraviť štandardné oznámenie. Ak chcete upravovať, vypnite ho a duplikujte."
Cannot edit a standard report. Please duplicate and create a new report,Nie je možné upraviť štandardnú správu. Zduplikujte a vytvorte novú správu
Cannot edit cancelled document,Nie je možné upraviť zrušený dokument
Cannot edit standard fields,Nemožno upravovať štandardné polia
Cannot have multiple printers mapped to a single print format.,Nie je možné mapovať viacero tlačiarní na jeden formát tlače.
Cannot link cancelled document: {0},Nie je možné prepojiť zrušený dokument: {0}
Cannot map because following condition fails: ,"Nemožno mapovať, pretože nasledujúca podmienka zlyháva:"
Cannot move row,Nie je možné presunúť riadok
Cannot open instance when its {0} is open,"Nie je možné otvoriť inštanciu, keď je otvorená jej {0}"
Cannot open {0} when its instance is open,"Nemožno otvoriť {0}, keď je jeho inštancia otvorená"
Cannot remove ID field,Nie je možné odstrániť pole ID
Cannot set Notification on Document Type {0},Nie je možné nastaviť oznámenie na typ dokumentu {0}
Cannot update {0},Nemožno aktualizovať {0}
Cannot use sub-query in order by,Nemožno použiť poddotaz v poradí podľa
Cannot {0} {1},Nemôže {0} {1}
Capitalization doesn't help very much.,Písanie veľkých písmen veľmi nepomáha.
Card Details,Podrobnosti o karte
Categorize blog posts.,Kategorizujte príspevky na blogu.
Category Description,Kategória Popis
Cent,Cent
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Niektoré dokumenty, ako napríklad faktúra, by sa po dokončení nemali meniť. Konečný stav takýchto dokladov sa nazýva Odoslaný. Môžete obmedziť, ktoré roly môžu Odoslať."
Chain Integrity,Integrita reťazca
Chaining Hash,Reťazenie Hash
Change Label (via Custom Translation),Zmena štítku (prostredníctvom vlastného prekladu)
Change Password,Zmena hesla
"Change field properties (hide, readonly, permission etc.)","Zmena vlastností poľa (skryť, len na čítanie, povolenie atď.)"
