A qustion must have at least one correct options,Otázka musí mať aspoň jednu správnu možnosť,
A4,A4,
API Endpoint,Koncový bod API,
API Key,Kľúč API,
Abbr can not be blank or space,Abbr nemôže byť prázdne alebo s medzerou,
Abbreviation already used for another company,"Skratka, ktorá sa už používa pre inú spoločnosť",
Abbreviation cannot have more than 5 characters,Skratka nemôže mať viac ako 5 znakov,
Abbreviation is mandatory,Skratka je povinná,
About the Company,O spoločnosti,
About your company,O vašej spoločnosti,
Above,Nad,
Academic Term,Akademický termín,
Academic Term:,Akademický termín:,
Academic Year,Akademický rok,
Academic Year:,Akademický rok:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Prijaté + odmietnuté množstvo sa musí rovnať prijatému množstvu pre položku {0},
Access Token,Prístupový token,
Accessable Value,Prístupná hodnota,
Account,Účet,
Account Number,Číslo účtu,
Account Number {0} already used in account {1},Číslo účtu {0} sa už používa na účte {1},
Account Pay Only,Iba platba na účet,
Account Type,Typ účtu,
Account Type for {0} must be {1},Typ účtu pre {0} musí byť {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Zostatok na účte je už v kredite, nemôžete nastaviť 'Balance Must Be' ako 'Debit'.",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Zostatok na účte je už na ťarchu, nemôžete nastaviť ""Zostatok musí byť"" ako ""Kredit"".",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Číslo účtu pre účet {0} nie je k dispozícii.<br> Prosím, nastavte správne svoju účtovnú osnovu.",
Account with child nodes cannot be converted to ledger,Účet s podriadenými uzlami nie je možné previesť do účtovnej knihy,
Account with child nodes cannot be set as ledger,Účet s podriadenými uzlami nie je možné nastaviť ako účtovnú knihu,
Account with existing transaction can not be converted to group.,Účet s existujúcou transakciou nie je možné previesť do skupiny.,
Account with existing transaction can not be deleted,Účet s existujúcou transakciou nie je možné vymazať,
Account with existing transaction cannot be converted to ledger,Účet s existujúcou transakciou nie je možné previesť do hlavnej knihy,
Account {0} does not belong to company: {1},Účet {0} nepatrí spoločnosti: {1},
Account {0} does not belongs to company {1},Účet {0} nepatrí spoločnosti {1},
Account {0} does not exist,Účet {0} neexistuje,
Account {0} does not exists,Účet {0} neexistuje,
Account {0} does not match with Company {1} in Mode of Account: {2},Účet {0} sa nezhoduje so spoločnosťou {1} v režime účtu: {2},
Account {0} has been entered multiple times,Účet {0} bol zadaný viackrát,
Account {0} is added in the child company {1},Účet {0} sa pridá do dcérskej spoločnosti {1},
Account {0} is frozen,Účet {0} je zmrazený,
Account {0} is invalid. Account Currency must be {1},Účet {0} je neplatný. Mena účtu musí byť {1},
Account {0}: Parent account {1} can not be a ledger,Účet {0}: Nadradený účet {1} nemôže byť účtovnou knihou,
Account {0}: Parent account {1} does not belong to company: {2},Účet {0}: Materský účet {1} nepatrí spoločnosti: {2},
Account {0}: Parent account {1} does not exist,Účet {0}: Nadradený účet {1} neexistuje,
Account {0}: You can not assign itself as parent account,Účet {0}: Nemôžete sa priradiť ako nadradený účet,
Account: {0} can only be updated via Stock Transactions,Účet: {0} možno aktualizovať len prostredníctvom transakcií so zásobami,
Account: {0} with currency: {1} can not be selected,Účet: {0} s menou: {1} nie je možné vybrať,
Accountant,Účtovník,
Accounting,Účtovníctvo,
Accounting Entry for Asset,Účtovný zápis pre majetok,
Accounting Entry for Stock,Účtovný zápis pre zásoby,
Accounting Entry for {0}: {1} can only be made in currency: {2},Účtovný zápis pre {0}: {1} sa môže vykonať len v mene: {2},
Accounting Ledger,Účtovná kniha,
Accounting journal entries.,Zápisy do účtovného denníka.,
Accounts,Účty,
Accounts Manager,Manažér účtovníctva,
Accounts Payable,Záväzky voči účtovníctvu,
Accounts Payable Summary,Súhrn záväzkov,
Accounts Receivable,Pohľadávky,
Accounts Receivable Summary,Prehľad pohľadávok,
Accounts User,Účty Používateľ,
Accounts table cannot be blank.,Tabuľka účtov nemôže byť prázdna.,
Accumulated Depreciation,Kumulované odpisy,
Accumulated Depreciation Amount,Kumulovaná suma odpisov,
Accumulated Depreciation as on,Naakumulované odpisy ku dňu,
Accumulated Monthly,Kumulované mesačné,
Accumulated Values,Kumulované hodnoty,
Accumulated Values in Group Company,Kumulované hodnoty v spoločnosti skupiny,
Achieved ({}),Dosiahnuté ({}),
Action,Akcia,
Action Initialised,Inicializovaná akcia,
Actions,Činnosti,
Active,Aktívne,
Activity Cost exists for Employee {0} against Activity Type - {1},Náklady na činnosť existujú pre zamestnanca {0} voči typu činnosti - {1},
Activity Cost per Employee,Náklady na činnosť na zamestnanca,
Activity Type,Typ činnosti,
Actual Cost,Skutočné náklady,
Actual Delivery Date,Skutočný dátum dodania,
Actual Qty,Skutočné množstvo,
Actual Qty is mandatory,Skutočný počet kusov je povinný,
Actual Qty {0} / Waiting Qty {1},Skutočné množstvo {0} / Čakacie množstvo {1},
Actual Qty: Quantity available in the warehouse.,Skutočné množstvo: Dostupné množstvo na sklade.,
Actual qty in stock,Skutočné množstvo na sklade,
Actual type tax cannot be included in Item rate in row {0},Skutočný typ dane nemožno zahrnúť do sadzby položky v riadku {0},
Add,Pridať,
Add / Edit Prices,Pridanie / úprava cien,
Add Comment,Pridať komentár,
Add Customers,Pridať zákazníkov,
Add Employees,Pridať zamestnancov,
Add Item,Pridať položku,
Add Items,Pridávanie položiek,
Add Leads,Pridanie vedenia,
Add Multiple Tasks,Pridanie viacerých úloh,
Add Sales Partners,Pridanie predajných partnerov,
Add Serial No,Pridať sériové číslo,
Add Students,Pridať študentov,
Add Suppliers,Pridať dodávateľov,
Add Time Slots,Pridanie časových slotov,
Add Timesheets,Pridať časové hárky,
Add Timeslots,Pridať časové intervaly,
Add Users to Marketplace,Pridanie používateľov na trhovisko,
Add a new address,Pridanie novej adresy,
Add cards or custom sections on homepage,Pridanie kariet alebo vlastných sekcií na domovskú stránku,
Add more items or open full form,Pridať ďalšie položky alebo otvoriť celý formulár,
Add notes,Pridajte poznámky,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Pridajte zvyšok organizácie ako používateľov. Na portál môžete pridať aj pozvánku Zákazníci pridaním z Kontaktov,
Add/Remove Recipients,Pridanie/odstránenie príjemcov,
Added,Pridané,
Added {0} users,Pridané {0} používateľov,
Additional Salary Component Exists.,Dodatočná zložka mzdy existuje.,
Address,Adresa,
Address Line 2,Adresný riadok 2,
Address Name,Názov adresy,
Address Title,Adresa Názov,
Address Type,Typ adresy,
Administrative Expenses,Administratívne výdavky,
Administrative Officer,Administratívny pracovník,
Administrator,Správca,
Admission,Prijatie,
Admission and Enrollment,Prijatie a zápis,
Admissions for {0},Prijatie pre {0},
Admit,Pripustiť,
Admitted,Prijaté,
Advance Amount,Výška zálohy,
Advance Payments,Zálohové platby,
Advance account currency should be same as company currency {0},Mena zálohového účtu by mala byť rovnaká ako mena spoločnosti {0},
Advance amount cannot be greater than {0} {1},Výška zálohy nemôže byť vyššia ako {0} {1},
Advertising,Reklama,
Aerospace,Letecký priemysel,
Against,Proti,
Against Account,Proti účtu,
Against Journal Entry {0} does not have any unmatched {1} entry,Proti položke v denníku {0} neexistuje žiadna nezhodná položka {1},
Against Journal Entry {0} is already adjusted against some other voucher,Oproti položke v denníku {0} sa už upravuje nejaký iný poukaz,
Against Supplier Invoice {0} dated {1},Voči dodávateľskej faktúre {0} zo dňa {1},
Against Voucher,Proti poukazu,
Against Voucher Type,Proti typu poukazu,
Age,Vek,
Age (Days),Vek (dni),
Ageing Based On,Starnutie na základe,
Ageing Range 1,Rozsah starnutia 1,
Ageing Range 2,Rozsah starnutia 2,
Ageing Range 3,Rozsah starnutia 3,
Agriculture,Poľnohospodárstvo,
Agriculture (beta),Poľnohospodárstvo (beta),
Airline,Letecká spoločnosť,
All Accounts,Všetky účty,
All Addresses.,Všetky adresy.,
All Assessment Groups,Všetky hodnotiace skupiny,
All BOMs,Všetky kusovníky,
All Contacts.,Všetky kontakty.,
All Customer Groups,Všetky skupiny zákazníkov,
All Day,Celý deň,
All Departments,Všetky oddelenia,
All Healthcare Service Units,Všetky jednotky zdravotnej starostlivosti,
All Item Groups,Všetky skupiny položiek,
All Products,Všetky produkty,
All Products or Services.,Všetky produkty alebo služby.,
All Student Admissions,Prijímanie všetkých študentov,
All Supplier Groups,Všetky skupiny dodávateľov,
All Supplier scorecards.,Všetky hodnotiace karty dodávateľov.,
All Territories,Všetky územia,
All Warehouses,Všetky sklady,
All communications including and above this shall be moved into the new Issue,Všetka komunikácia vrátane a nad rámec tejto položky sa presunie do nového vydania,
All items have already been transferred for this Work Order.,Všetky položky už boli prenesené pre túto pracovnú objednávku.,
All other ITC,Všetky ostatné ITC,
All the mandatory Task for employee creation hasn't been done yet.,Všetky povinné úlohy na vytvorenie zamestnanca ešte neboli vykonané.,
Allocate Payment Amount,Prideliť sumu platby,
Allocated Amount,Pridelená suma,
Allocating leaves...,Prideľovanie listov...,
Already record exists for the item {0},Pre položku {0} už existuje záznam,
"Already set default in pos profile {0} for user {1}, kindly disabled default","Už nastavené predvolené nastavenie v profile pos {0} pre používateľa {1}, láskavo vypnite predvolené nastavenie",
Alternate Item,Alternatívna položka,
Alternative item must not be same as item code,Alternatívna položka nesmie byť rovnaká ako kód položky,
Amended From,Zmenené od,
Amount,Suma,
Amount After Depreciation,Suma po odpisoch,
Amount of Integrated Tax,Výška integrovanej dane,
Amount of TDS Deducted,Výška odpočítanej dane TDS,
Amount should not be less than zero.,Suma by nemala byť nižšia ako nula.,
Amount to Bill,Suma na účet,
Amount {0} {1} against {2} {3},Suma {0} {1} proti {2} {3},
Amount {0} {1} deducted against {2},Suma {0} {1} odpočítaná od {2},
Amount {0} {1} transferred from {2} to {3},Suma {0} {1} prevedená z {2} na {3},
Amount {0} {1} {2} {3},Suma {0} {1} {2} {3},
Amt,Amt,
"An Item Group exists with same name, please change the item name or rename the item group","Existuje skupina položiek s rovnakým názvom, zmeňte názov položky alebo premenujte skupinu položiek",
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,"Akademický semester s týmto ""Akademický rok"" {0} a ""Názov semestra"" {1} už existuje. Prosím, upravte tieto položky a skúste to znova.",
An error occurred during the update process,Počas procesu aktualizácie došlo k chybe,
"An item exists with same name ({0}), please change the item group name or rename the item","Existuje položka s rovnakým názvom ({0}), zmeňte názov skupiny položiek alebo položku premenujte",
Analyst,Analytik,
Annual Billing: {0},Ročné vyúčtovanie: {0},
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},"Voči {1} už existuje ďalší rozpočtový záznam ""{0}"". ""{2}"" a účet ""{3}"" pre rozpočtový rok {4}",
Another Period Closing Entry {0} has been made after {1},Ďalší záznam o ukončení obdobia {0} bol vykonaný po {1},
Another Sales Person {0} exists with the same Employee id,Existuje ďalší predajca {0} s rovnakým ID zamestnanca,
Antibiotic,Antibiotikum,
Apparel & Accessories,Oblečenie a príslušenstvo,
Applicable For,Platí pre,
"Applicable if the company is SpA, SApA or SRL","Uplatňuje sa, ak je spoločnosť SpA, SApA alebo SRL",
Applicable if the company is a limited liability company,"Uplatňuje sa, ak je spoločnosť spoločnosťou s ručením obmedzeným",
Applicable if the company is an Individual or a Proprietorship,"Uplatňuje sa, ak je spoločnosť fyzickou osobou alebo vlastníkom",
Application of Funds (Assets),Použitie finančných prostriedkov (aktív),
Applied,Aplikované,
Appointment Confirmation,Potvrdenie vymenovania,
Appointment Duration (mins),Trvanie stretnutia (minúty),
Appointment Type,Typ vymenovania,
Appointment {0} and Sales Invoice {1} cancelled,Schôdzka {0} a predajná faktúra {1} zrušené,
Appointments and Encounters,Stretnutia a stretnutia,
Appointments and Patient Encounters,Schôdzky a stretnutia s pacientmi,
Appraisal {0} created for Employee {1} in the given date range,Hodnotenie {0} vytvorené pre zamestnanca {1} v danom rozsahu dátumov,
Approving Role cannot be same as role the rule is Applicable To,"Schvaľujúca rola nemôže byť rovnaká ako rola, na ktorú sa pravidlo vzťahuje",
Approving User cannot be same as user the rule is Applicable To,"Schvaľujúci používateľ nemôže byť rovnaký ako používateľ, na ktorého sa pravidlo vzťahuje",
"Apps using current key won't be able to access, are you sure?","Aplikácie používajúce aktuálny kľúč nebudú mať prístup, ste si istí?",
Are you sure you want to cancel this appointment?,"Ste si istí, že chcete zrušiť toto stretnutie?",
Arrear,Nedoplatky,
As Examiner,Ako skúšajúci,
As On Date,Od dátumu,
As Supervisor,Ako vedúci,
As per rules 42 & 43 of CGST Rules,Podľa pravidiel 42 a 43 pravidiel CGST,
As per section 17(5),Podľa § 17 ods. 5,
Assessment,Hodnotenie,
Assessment Criteria,Kritériá hodnotenia,
Assessment Group,Hodnotiaca skupina,
Assessment Group:,Hodnotiaca skupina:,
Assessment Plan,Plán hodnotenia,
Assessment Plan Name,Názov plánu hodnotenia,
Assessment Report,Hodnotiaca správa,
Assessment Reports,Hodnotiace správy,
Assessment Result,Výsledok hodnotenia,
Assessment Result record {0} already exists.,Záznam o výsledku hodnotenia {0} už existuje.,
Asset,Aktíva,
Asset Category,Kategória aktív,
Asset Category is mandatory for Fixed Asset item,Kategória majetku je povinná pre položku dlhodobého majetku,
Asset Maintenance,Údržba majetku,
Asset Movement,Pohyb aktív,
Asset Movement record {0} created,Záznam o pohybe majetku {0} vytvorený,
Asset Name,Názov aktíva,
Asset Received But Not Billed,"Prijaté, ale nevyfakturované aktíva",
Asset Value Adjustment,Úprava hodnoty majetku,
"Asset cannot be cancelled, as it is already {0}","Aktívum nemožno zrušiť, pretože už je {0}",
Asset scrapped via Journal Entry {0},Majetok vyradený prostredníctvom záznamu v denníku {0},
"Asset {0} cannot be scrapped, as it is already {1}","Majetok {0} nemožno vyradiť, pretože už je {1}",
Asset {0} does not belong to company {1},Majetok {0} nepatrí spoločnosti {1},
Asset {0} must be submitted,Musí sa predložiť aktívum {0},
Assets,Aktíva,
Assign To,Priradiť k,
Associate,Spolupracovník,
At least one mode of payment is required for POS invoice.,Pre faktúru POS sa vyžaduje aspoň jeden spôsob platby.,
Atleast one item should be entered with negative quantity in return document,V doklade o vrátení by sa mala uviesť aspoň jedna položka so záporným množstvom,
Atleast one of the Selling or Buying must be selected,Musí byť vybraná aspoň jedna z možností Predaj alebo Nákup,
Atleast one warehouse is mandatory,Najmenej jeden sklad je povinný,
Attach Logo,Pripojte logo,
Attachment,Príloha,
Attachments,Prílohy,
Attendance can not be marked for future dates,Účasť nie je možné označiť pre budúce termíny,
Attendance date can not be less than employee's joining date,Dátum dochádzky nesmie byť kratší ako dátum nástupu zamestnanca,
Attendance for employee {0} is already marked,Dochádzka zamestnanca {0} je už označená,
Attendance has been marked successfully.,Účasť bola úspešne označená.,
Attendance not submitted for {0} as {1} on leave.,"Dochádzka nebola predložená pre {0}, keďže {1} je na dovolenke.",
Attribute table is mandatory,Tabuľka atribútov je povinná,
Attribute {0} selected multiple times in Attributes Table,Atribút {0} vybraný viackrát v tabuľke atribútov,
Authorized Signatory,Autorizovaný signatár,
Auto Material Requests Generated,Automatické generovanie požiadaviek na materiál,
Auto Repeat,Automatické opakovanie,
Auto repeat document updated,Automatické opakovanie aktualizácie dokumentu,
Automotive,Automobilový priemysel,
Available,Dostupné na,
Available Qty,Dostupné množstvo,
Available Selling,Dostupný predaj,
Available for use date is required,Vyžaduje sa dátum k dispozícii na použitie,
Available slots,Dostupné sloty,
Available {0},Dostupné {0},
Available-for-use Date should be after purchase date,Dátum dostupnosti na použitie by mal byť po dátume nákupu,
Average Age,Priemerný vek,
Average Rate,Priemerná sadzba,
Avg Daily Outgoing,Priemerná denná odchádzajúca,
Avg. Buying Price List Rate,Priemerná hodnota. Nákupná cena Cenníková sadzba,
Avg. Selling Price List Rate,Priemerná hodnota. Predajná cena Cenníková sadzba,
Avg. Selling Rate,Priemerná hodnota. Predajná sadzba,
BOM,BOM,
BOM Browser,Prehliadač BOM,
BOM No,BOM č.,
BOM Rate,Sadzba BOM,
BOM Stock Report,Správa o zásobách BOM,
BOM and Manufacturing Quantity are required,Vyžaduje sa kusovník a výrobné množstvo,
BOM does not contain any stock item,kusovník neobsahuje žiadnu skladovú položku,
BOM {0} does not belong to Item {1},BOM {0} nepatrí do položky {1},
BOM {0} must be active,BOM {0} musí byť aktívny,
BOM {0} must be submitted,Musí sa predložiť BOM {0},
Balance,Bilancia,
Balance (Dr - Cr),Zostatok (Dr - Cr),
Balance ({0}),Rovnováha ({0}),
Balance Qty,Zostatok Množstvo,
Balance Sheet,Súvaha,
Balance Value,Bilančná hodnota,
Balance for Account {0} must always be {1},Zostatok účtu {0} musí byť vždy {1},
Bank,Banka,
Bank Account,Bankový účet,
Bank Accounts,Bankové účty,
Bank Draft,Bankový návrh,
Bank Name,Názov banky,
Bank Overdraft Account,Prečerpanie bankového účtu,
Bank Reconciliation,Zosúladenie bankových účtov,
Bank Reconciliation Statement,Výpis z bankového odsúhlasenia,
Bank Statement,Bankový výpis,
Bank Statement Settings,Nastavenia bankového výpisu,
Bank Statement balance as per General Ledger,Zostatok bankového výpisu podľa hlavnej knihy,
Bank account cannot be named as {0},Bankový účet nemôže byť pomenovaný ako {0},
Bank/Cash transactions against party or for internal transfer,Bankové/peňažné transakcie voči strane alebo na interný prevod,
Banking,Bankovníctvo,
Banking and Payments,Bankovníctvo a platby,
Barcode {0} already used in Item {1},Čiarový kód {0} už bol použitý v položke {1},
Barcode {0} is not a valid {1} code,Čiarový kód {0} nie je platný kód {1},
Base URL,Základná adresa URL,
Based On,Na základe,
Based On Payment Terms,Na základe platobných podmienok,
Batch,Dávka,
Batch Entries,Dávkové záznamy,
Batch ID is mandatory,ID dávky je povinné,
Batch Inventory,Dávková inventúra,
Batch Name,Názov dávky,
Batch No,Číslo dávky,
Batch number is mandatory for Item {0},Číslo dávky je povinné pre položku {0},
Batch {0} of Item {1} has expired.,Platnosť dávky {0} položky {1} vypršala.,
Batch {0} of Item {1} is disabled.,Dávka {0} položky {1} je vypnutá.,
Batch:,Dávka:,
Batches,Dávky,
Become a Seller,Staňte sa predajcom,
Bill,Bill,
Bill Date,Dátum vyúčtovania,
Bill No,Návrh zákona č.,
Bill of Materials,Výkaz materiálu,
Bill of Materials (BOM),Výkaz materiálu (BOM),
Billable Hours,Zúčtovateľné hodiny,
Billed,Účtované na,
Billed Amount,Účtovaná suma,
Billing Address,Fakturačná adresa,
Billing Address is same as Shipping Address,Fakturačná adresa je rovnaká ako dodacia adresa,
Billing Amount,Fakturačná suma,
Billing Status,Stav fakturácie,
Billing currency must be equal to either default company's currency or party account currency,"Fakturačná mena sa musí rovnať buď predvolenej mene spoločnosti, alebo mene účtu strany.",
Bills raised by Suppliers.,Účty predložené dodávateľmi.,
Bills raised to Customers.,Účty vystavené zákazníkom.,
Biotechnology,Biotechnológie,
Black,Čierna,
Blanket Orders from Costumers.,Hromadné objednávky od zákazníkov.,
Block Invoice,Bloková faktúra,
Boms,Boms,
Both Trial Period Start Date and Trial Period End Date must be set,Musí byť nastavený dátum začiatku skúšobného obdobia aj dátum konca skúšobného obdobia.,
Both Warehouse must belong to same Company,Oba sklady musia patriť tej istej spoločnosti,
Branch,Pobočka,
Broadcasting,Vysielanie,
Brokerage,Sprostredkovanie,
Browse BOM,Prehľadávať BOM,
Budget Against,Rozpočet proti,
Budget List,Zoznam rozpočtov,
Budget Variance Report,Správa o odchýlkach v rozpočte,
Budget cannot be assigned against Group Account {0},Rozpočet nemožno priradiť k účtu skupiny {0},
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Rozpočet nie je možné priradiť k účtu {0}, pretože to nie je účet príjmov alebo výdavkov",
Buildings,Budovy,
Bundle items at time of sale.,Pri predaji balíka položiek.,
Business Development Manager,Manažér pre rozvoj podnikania,
Buy,Kúpiť,
Buying,Nákup,
Buying Amount,Nákupná suma,
Buying Price List,Nákupný cenník,
Buying Rate,Nákupná sadzba,
"Buying must be checked, if Applicable For is selected as {0}","Ak je možnosť Použiteľné pre vybraná ako {0}, musí byť začiarknuté políčko Kupovať.",
By {0},Podľa {0},
Bypass credit check at Sales Order,Obchádzanie kontroly kreditu pri objednávke predaja,
C-Form records,Záznamy formulára C,
C-form is not applicable for Invoice: {0},Formulár C nie je použiteľný pre faktúru: {0},
CEO,GENERÁLNY RIADITEĽ,
CESS Amount,Suma CESS,
CGST Amount,Suma CGST,
CRM,CRM,
CWIP Account,Účet CWIP,
Calculated Bank Statement balance,Vypočítaný zostatok na bankovom výpise,
Campaign,Kampaň,
Can be approved by {0},Môže byť schválený {0},
"Can not filter based on Account, if grouped by Account","Nemožno filtrovať na základe účtu, ak je zoskupený podľa účtu",
"Can not filter based on Voucher No, if grouped by Voucher","Nemožno filtrovať na základe poukazu č., ak je zoskupený podľa poukazu",
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Nemožno označiť záznam o hospitalizácii ako prepustený, existujú nevyúčtované faktúry {0}",
Can only make payment against unbilled {0},Môže vykonať platbu len na základe nevyfakturovaných {0},
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',"Môže odkazovať na riadok len vtedy, ak je typ poplatku ""Na sumu predchádzajúceho riadku"" alebo ""Na sumu predchádzajúceho riadku"".",
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Nie je možné zmeniť metódu oceňovania, pretože existujú transakcie voči niektorým položkám, ktoré nemajú vlastnú metódu oceňovania.",
Can't create standard criteria. Please rename the criteria,"Nie je možné vytvoriť štandardné kritériá. Prosím, premenujte kritériá",
Cancel,Zrušiť,
Cancel Material Visit {0} before cancelling this Warranty Claim,Zrušenie návštevy materiálu {0} pred zrušením tohto nároku na záruku,
Cancel Material Visits {0} before cancelling this Maintenance Visit,Zrušiť návštevy materiálu {0} pred zrušením tejto návštevy údržby,
Cancel Subscription,Zrušenie predplatného,
Cancel the journal entry {0} first,Najskôr zrušte záznam v denníku {0},
Canceled,Zrušené,
"Cannot Submit, Employees left to mark attendance","Nemožno odoslať, zamestnanci si nechali označiť dochádzku",
Cannot be a fixed asset item as Stock Ledger is created.,"Nemôže byť položkou dlhodobého majetku, pretože sa vytvára kniha zásob.",
Cannot cancel because submitted Stock Entry {0} exists,"Nemožno zrušiť, pretože existuje odoslaná skladová položka {0}",
Cannot cancel transaction for Completed Work Order.,Nie je možné zrušiť transakciu pre dokončený pracovný príkaz.,
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},"Nemožno zrušiť {0} {1}, pretože sériové číslo {2} nepatrí do skladu {3}",
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Nie je možné zmeniť atribúty po skladovej transakcii. Vytvorte novú položku a preneste zásoby do novej položky,
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Po uložení fiškálneho roka nie je možné zmeniť dátum začiatku fiškálneho roka a dátum konca fiškálneho roka.,
Cannot change Service Stop Date for item in row {0},Nie je možné zmeniť dátum ukončenia služby pre položku v riadku {0},
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,"Po skladovej transakcii nie je možné zmeniť vlastnosti variantu. Musíte vytvoriť novú položku, aby ste to mohli urobiť.",
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Nie je možné zmeniť predvolenú menu spoločnosti, pretože existujú transakcie. Ak chcete zmeniť predvolenú menu, transakcie sa musia zrušiť.",
Cannot change status as student {0} is linked with student application {1},"Nie je možné zmeniť status, pretože študent {0} je prepojený so žiadosťou študenta {1}",
Cannot convert Cost Center to ledger as it has child nodes,"Nemožno previesť nákladové stredisko do účtovnej knihy, pretože má podriadené uzly",
Cannot covert to Group because Account Type is selected.,"Nemožno sa skryť do skupiny, pretože je vybraný typ účtu.",
Cannot create Retention Bonus for left Employees,"Nemožno vytvoriť bonus za udržanie pre zamestnancov, ktorí odišli",
Cannot create a Delivery Trip from Draft documents.,Nie je možné vytvoriť cestu z návrhov dokumentov.,
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Nie je možné deaktivovať alebo zrušiť kusovník, pretože je prepojený s inými kusovníkmi",
"Cannot declare as lost, because Quotation has been made.","Nemožno vyhlásiť za stratené, pretože bola vykonaná citácia.",
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"Nemožno odpočítať, ak je kategória určená pre ""Ocenenie"" alebo ""Ocenenie a spolu"".",
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',"Nemožno odpočítať, ak je kategória určená pre ""Oceňovanie"" alebo ""Oceňovanie a spolu"".",
"Cannot delete Serial No {0}, as it is used in stock transactions","Nie je možné vymazať sériové číslo {0}, pretože sa používa pri skladových transakciách",
Cannot enroll more than {0} students for this student group.,Do tejto skupiny študentov nemožno zapísať viac ako {0} študentov.,
Cannot produce more Item {0} than Sales Order quantity {1},Nie je možné vyrobiť viac položky {0} ako je množstvo v predajnej objednávke {1},
Cannot promote Employee with status Left,Nie je možné povýšiť zamestnanca so statusom Vľavo,
Cannot refer row number greater than or equal to current row number for this Charge type,Nemôže odkazovať na číslo riadku väčšie alebo rovné aktuálnemu číslu riadku pre tento typ poplatku,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,"Nie je možné vybrať typ poplatku ako ""Na základe sumy predchádzajúceho riadku"" alebo ""Na základe sumy predchádzajúceho riadku"" pre prvý riadok",
Cannot set as Lost as Sales Order is made.,Nemožno nastaviť ako Stratené ako je vytvorená objednávka predaja.,
Cannot set authorization on basis of Discount for {0},Nie je možné nastaviť autorizáciu na základe zľavy pre {0},
Cannot set multiple Item Defaults for a company.,Nie je možné nastaviť viacero predvolených položiek pre spoločnosť.,
Cannot set quantity less than delivered quantity,Nemožno nastaviť množstvo menšie ako dodané množstvo,
Cannot set quantity less than received quantity,Nemožno nastaviť množstvo menšie ako prijaté množstvo,
